Ensembl_id chr start end gene order expression
ENSMUST00000193812.1 1 3073252 3074322 4933401J01Rik 1 0
ENSMUST00000082908.1 1 3102015 3102125 Gm26206 2 0
ENSMUST00000162897.1 1 3205900 3216344 Xkr4 3 0
ENSMUST00000192857.1 1 3252756 3253236 Gm18956 6 0
ENSMUST00000195335.1 1 3365730 3368549 Gm37180 7 0
ENSMUST00000192336.1 1 3375555 3377788 Gm37363 8 0
ENSMUST00000194099.1 1 3464976 3467285 Gm37686 9 0
ENSMUST00000161581.1 1 3466586 3513553 Gm1992 10 0
ENSMUST00000192973.1 1 3512450 3514507 Gm37329 11 0
ENSMUST00000192183.1 1 3531794 3532720 Gm7341 12 0
ENSMUST00000195166.1 1 3592891 3595903 Gm38148 13 0
ENSMUST00000192692.1 1 3647308 3658904 Gm19938 14 0
ENSMUST00000193244.1 1 3680154 3681788 Gm10568 15 0
ENSMUST00000194454.1 1 3752009 3754360 Gm38385 16 0
ENSMUST00000157708.2 1 3783875 3783933 Gm27396 17 0
ENSMUST00000194643.1 1 3905738 3986215 Gm37381 18 0
ENSMUST00000208660.1 1 3999556 4409241 Rp1 20 0
ENSMUST00000195384.1 1 4256233 4260519 Gm6101 21 0
ENSMUST00000194382.1 1 4363345 4364829 Gm37483 25 0
ENSMUST00000027035.9 1 4490930 4496413 Sox17 26 0
ENSMUST00000193450.1 1 4496550 4499378 Gm37587 34 0
ENSMUST00000195361.1 1 4522904 4526737 Gm7357 36 0
ENSMUST00000180019.1 1 4529016 4529123 Gm22307 37 0
ENSMUST00000193889.1 1 4534836 4535286 Gm38076 38 0
ENSMUST00000195771.1 1 4583128 4586252 Gm37323 39 0
ENSMUST00000192738.1 1 4610470 4611406 Gm7369 40 0
ENSMUST00000182774.1 1 4687933 4689403 Gm6085 41 0
ENSMUST00000193443.1 1 4692218 4693424 Gm6119 42 0
ENSMUST00000157375.1 1 4723276 4723379 Gm25493 43 0
ENSMUST00000195671.1 1 4735045 4735676 Gm2053 44 0
ENSMUST00000193658.1 1 4771130 4772199 Gm6123 45 0
ENSMUST00000130201.7 1 4773205 4785710 Mrpl15 46 0
ENSMUST00000195445.1 1 4778062 4779212 Gm37144 50 0
ENSMUST00000134384.7 1 4807787 4848410 Lypla1 54 0
ENSMUST00000155020.1 1 4807891 4886770 Gm37988 57 0
ENSMUST00000081551.13 1 4857813 4897905 Tcea1 63 0
ENSMUST00000078030.4 1 4880048 4880651 Gm6104 65 0
ENSMUST00000194052.1 1 4905750 4906861 Gm37277 66 0
ENSMUST00000002533.14 1 4909575 5019539 Rgs20 67 0
ENSMUST00000168963.1 1 4927027 4927299 Gm17100 73 0
ENSMUST00000194114.1 1 4938575 4940710 Gm37079 74 0
ENSMUST00000144339.1 1 4970856 4976820 Gm16041 75 0
ENSMUST00000169520.1 1 5063059 5064647 Gm17101 77 0
ENSMUST00000192847.5 1 5070017 5162340 Atp6v1h 78 0
ENSMUST00000193351.1 1 5276105 5277337 Gm7182 86 0
ENSMUST00000193241.1 1 5307738 5310017 Gm37567 87 0
ENSMUST00000194850.1 1 5403546 5405578 Gm38264 88 0
ENSMUST00000192685.1 1 5588465 5591311 Oprk1 89 0
ENSMUST00000193797.1 1 5617836 5618230 Gm36965 95 0
ENSMUST00000175274.1 1 5644644 5644745 Gm22463 96 0
ENSMUST00000193807.1 1 5842873 5844672 Gm37429 97 0
ENSMUST00000044180.4 1 5913706 5917398 Npbwr1 98 0
ENSMUST00000191956.1 1 6048962 6050045 Gm19214 99 0
ENSMUST00000159906.7 1 6206196 6234311 Rb1cc1 100 0
ENSMUST00000191825.1 1 6209865 6215293 4732440D04Rik 102 0
ENSMUST00000133144.3 1 6359217 6394731 Alkal1 119 0
ENSMUST00000193588.1 1 6380393 6381032 Gm2147 120 0
ENSMUST00000192950.1 1 6382633 6383106 Gm7417 121 0
ENSMUST00000194240.1 1 6429654 6441296 Gm19026 122 0
ENSMUST00000140079.7 1 6487230 6860934 St18 123 0
ENSMUST00000195780.2 1 6861236 6864151 Gm42492 136 0
ENSMUST00000194393.1 1 6910559 6911222 Gm7449 137 0
ENSMUST00000194605.1 1 6916558 6923588 Gm37108 138 0
ENSMUST00000191703.1 1 6929758 6929788 Gm37275 139 0
ENSMUST00000193423.1 1 6998216 6998541 Gm37225 140 0
ENSMUST00000191883.1 1 7013761 7013920 Gm37489 141 0
ENSMUST00000195648.1 1 7035914 7037217 Gm5694 142 0
ENSMUST00000061280.16 1 7088919 7173628 Pcmtd1 143 0
ENSMUST00000182051.1 1 7136198 7136586 Gm26983 147 0
ENSMUST00000194854.1 1 7148109 7152137 Gm38372 149 0
ENSMUST00000029124.7 1 7177738 7179037 Gm9826 153 0
ENSMUST00000195269.1 1 7189741 7189919 Nras-ps2 154 0
ENSMUST00000104056.1 1 7265802 7265932 Gm23274 155 0
ENSMUST00000192649.1 1 7315450 7316462 Gm19002 156 0
ENSMUST00000181554.1 1 7349405 7397801 Gm26901 157 0
ENSMUST00000193998.1 1 7410678 7411993 Gm18984 161 0
ENSMUST00000194886.1 1 7497967 7518149 Gm30414 162 0
ENSMUST00000195081.1 1 7591645 7591931 Gm37791 163 0
ENSMUST00000194219.1 1 7597378 7599473 Gm7470 164 0
ENSMUST00000194305.1 1 7664080 7664961 Rps2-ps2 165 0
ENSMUST00000194872.1 1 7728860 7730565 Gm38216 166 0
ENSMUST00000132064.7 1 8361474 9298573 Sntg1 167 0
ENSMUST00000192338.1 1 8450959 8453491 Gm38024 174 0
ENSMUST00000140995.1 1 8468425 8468825 Gm16284 175 0
ENSMUST00000194602.1 1 8527779 8531313 Gm38259 176 0
ENSMUST00000103887.2 1 8588614 8588724 Gm23358 177 0
ENSMUST00000193281.1 1 8643695 8644859 Gm37005 178 0
ENSMUST00000119877.1 1 8791922 8792162 Gm15452 181 0
ENSMUST00000191876.1 1 8815841 8816039 Gm36964 182 0
ENSMUST00000102181.1 1 8816137 8816247 Gm24276 183 0
ENSMUST00000151704.1 1 8855927 8856267 Gm6152 184 0
ENSMUST00000192115.1 1 8856762 8857102 Gm7445 185 0
ENSMUST00000085919.2 1 8962995 8963621 Gm7493 188 0
ENSMUST00000193635.1 1 9191066 9192116 Gm37629 189 0
ENSMUST00000195333.1 1 9258616 9259134 Gm38008 190 0
ENSMUST00000195180.1 1 9286921 9290180 Gm37143 191 0
ENSMUST00000040649.6 1 9396772 9398687 Gm6187 192 0
ENSMUST00000192026.1 1 9439740 9440376 Gm18299 193 0
ENSMUST00000195217.1 1 9450578 9451748 Gm7512 194 0
ENSMUST00000083691.1 1 9458669 9458772 Gm24765 195 0
ENSMUST00000192792.1 1 9499337 9501522 Gm18300 196 0
ENSMUST00000072079.8 1 9545407 9547455 Rrs1 197 0
ENSMUST00000144177.7 1 9547947 9577970 Adhfe1 198 0
ENSMUST00000115480.7 1 9560831 9631092 2610203C22Rik 203 0
ENSMUST00000121942.1 1 9574547 9575649 Gm6161 205 0
ENSMUST00000088666.3 1 9601198 9627143 Vxn 208 0
ENSMUST00000191209.1 1 9639254 9640582 Gm29520 210 0
ENSMUST00000088658.10 1 9667414 9700209 Mybl1 211 0
ENSMUST00000057438.6 1 9718621 9748382 Vcpip1 216 0
ENSMUST00000181821.7 1 9747647 9791922 1700034P13Rik 217 0
ENSMUST00000166384.7 1 9798106 9900843 Sgk3 224 0
ENSMUST00000063059.4 1 9802196 9802553 Gm6195 230 0
ENSMUST00000158291.1 1 9834497 9834602 Gm22607 231 0
ENSMUST00000052843.11 1 9908637 9922525 Mcmdc2 238 0
ENSMUST00000182580.7 1 9941958 9944118 Snhg6 244 0
ENSMUST00000175437.1 1 9942462 9942549 Snord87 249 0
ENSMUST00000185184.1 1 9960162 9967932 Tcf24 250 0
ENSMUST00000192299.1 1 9967313 9968687 E330040D14Rik 252 0
ENSMUST00000147000.8 1 9968623 9985692 Ppp1r42 253 0
ENSMUST00000134692.1 1 9982386 9992366 Gm15818 258 0
ENSMUST00000179194.1 1 10009813 10009917 Gm24674 260 0
ENSMUST00000027050.9 1 10024600 10038127 Cops5 261 0
ENSMUST00000190610.1 1 10037986 10039342 Cspp1 268 0
ENSMUST00000194474.1 1 10057024 10057944 1700047N06Rik 283 0
ENSMUST00000088615.10 1 10137570 10232670 Arfgef1 296 0
ENSMUST00000157528.1 1 10166538 10166778 Gm26348 301 0
ENSMUST00000192111.1 1 10197080 10198802 Gm37569 303 0
ENSMUST00000153695.7 1 10324719 10719945 Cpa6 306 0
ENSMUST00000194845.1 1 10449244 10451989 Gm38005 308 0
ENSMUST00000118350.1 1 10554097 10555553 Gm15604 310 0
ENSMUST00000179958.1 1 10555553 10555660 Gm25253 311 0
ENSMUST00000119252.1 1 10695122 10695614 Gm15603 313 0
ENSMUST00000192705.1 1 10782455 10784377 Gm37133 314 0
ENSMUST00000189483.1 1 10805280 10806522 Gm5522 315 0
ENSMUST00000188013.1 1 10868687 10869446 Gm28659 316 0
ENSMUST00000157960.1 1 10921669 10921760 Gm22963 317 0
ENSMUST00000027056.11 1 10993464 11303681 Prex2 318 0
ENSMUST00000104130.1 1 11134110 11134238 Gm24173 321 0
ENSMUST00000187404.1 1 11223565 11224174 Gm28686 323 0
ENSMUST00000193623.1 1 11363925 11366964 Gm37410 328 0
ENSMUST00000171690.8 1 11414104 11601811 A830018L16Rik 329 0
ENSMUST00000194502.1 1 11416917 11419388 Gm38178 337 0
ENSMUST00000188880.1 1 11608138 11608400 Gm29273 340 0
ENSMUST00000195360.1 1 11704206 11706350 Gm38069 341 0
ENSMUST00000187748.1 1 12120959 12121832 Gm7560 342 0
ENSMUST00000179834.1 1 12374935 12375042 Gm22633 343 0
ENSMUST00000183490.1 1 12425985 12426106 Mir6341 344 0
ENSMUST00000181461.1 1 12565576 12566383 Gm2383 345 0
ENSMUST00000182390.1 1 12655866 12656553 Gm6216 346 0
ENSMUST00000181272.1 1 12667562 12673090 Gm17644 347 0
ENSMUST00000186962.1 1 12670323 12671176 Gm29663 348 0
ENSMUST00000177608.7 1 12692276 12861192 Sulf1 349 0
ENSMUST00000188454.6 1 12866548 12992650 Slco5a1 359 0
ENSMUST00000191708.1 1 13059400 13059951 Gm37162 367 0
ENSMUST00000059065.9 1 13062024 13062345 Gm5250 368 0
ENSMUST00000187394.1 1 13068837 13078662 Gm29283 369 0
ENSMUST00000047577.6 1 13113456 13127163 Prdm14 370 0
ENSMUST00000081713.10 1 13139104 13372439 Ncoa2 371 0
ENSMUST00000195493.1 1 13177461 13179714 Gm38376 379 0
ENSMUST00000195811.1 1 13234808 13236434 Gm37409 383 0
ENSMUST00000183805.1 1 13262197 13262279 Gm27881 384 0
ENSMUST00000194484.1 1 13289811 13290506 Gm38223 385 0
ENSMUST00000194357.1 1 13297035 13298907 Gm37702 386 0
ENSMUST00000157157.1 1 13334497 13334609 Gm23169 387 0
ENSMUST00000195506.1 1 13343562 13348204 Gm38120 388 0
ENSMUST00000195718.1 1 13354482 13356730 Gm38380 389 0
ENSMUST00000185813.1 1 13376069 13388413 Gm29570 390 0
ENSMUST00000187246.1 1 13407011 13407655 Gm7593 391 0
ENSMUST00000027068.10 1 13564697 13589910 Tram1 392 0
ENSMUST00000027071.6 1 13623329 13660546 Lactb2 395 0
ENSMUST00000194537.1 1 13641482 13642748 Gm38319 397 0
ENSMUST00000088542.3 1 13668770 13701723 Xkr9 398 0
ENSMUST00000104180.1 1 13774333 13774464 Gm26273 399 0
ENSMUST00000180415.1 1 13785882 13786879 Gm5523 400 0
